sentiment,text,sentiment_label
3,no that is what you are talking about for some reason the topic of this conversation is delaying the primaries due to the coronavirus outbreak you are ignoring the pandemic very irresponsible,anger
2,threat assessment for march 9th back in black,fear
3,norwegian cruise line managers told sales staff to lie to customers about coronavirus via,anger
2,2020 covid 19 coronavirus us cases 580 us deaths 100 panic level mass hysteria 2009 h1n1 virus us cases 60 8 million us deaths 12 469 panic level chill,fear
3,your masturbatory ego rallies put your magats at risk but you do not really care do you,anger
0,because of covid 19 guidelines restricting visitation to hospitals and care centers john could not see his father in person before he died now he is asking members of his community to donate ipads that will be distributed to local medical centers,sad
2,worthwhile read pass the information along we have got to look out for each other the government has failed us on a disturbing level,fear
1,hoping that i would emerge on the other side of this more healthy and fit heres my dinner salad twitter comiozlyen8rz,joy
2,give it a break rob this constant haranguing is doing nothing but dragging down people who need to have their spirits picked up save the politicizing for when this crisis is over,fear
0,what would be the situation if raga was pm entire world would laugh at us instead india leading the covid fight,sad
3,was planning on making chicken noodle soup tonight but apparently all of the grocery stores in my city are empty this is fucking ridiculous i just wanted to make tonights meal while ppl are selfishly stocking up on food they probably do not need smh,anger
0,coronavirus death rate mi blocked rate gong at same rate,sad
0,he wants to convey modi govt revoked article 370 as a result facing 370 cases of corona virus how sick,sad
2,coronavirus could hit housing hard as australia teeters on edge of recession the guardian,fear
2,i know everyone is panicking over the coronavirus but i just met my mums new boyfriend and the first thing i said to him was oh my god you are much taller than i thought if you break my mums heart it is going to be much harder to kill you and no one laughed,fear
2,government it is extremely week and pd ex communists are dictating the globalist agenda troika it is on the way and we are under oms leading situation we need to breakout euro prison asap with eu will decay that is why they are killing italy now,fear
0,19 the us leads the world in confirmed deaths,sad
0,yes and people fighting with hunger and poverty r also less vulnerable to,sad
3,florida niggas will live forever we dont give a fuck about no corona virus,anger
0,corona cases continue to rise sindh chief minister syed murad ali shah increased lockdown in sindh till april 14,sad
2,hackers use fake coronavirus maps to infect visitors with malware via,fear
0,do not be deluded by the delay in your punishment when it comes it will be painful and severe 19,sad
3,so you no longer think that the coronavirus is a hoax perpetrated by the democrats exactly when was your epiphany moment,anger
0,we extend our deepest condolences to the somali people and especially to his family through the tragic death of honor nur hassan hussein nur adde the former prime minister of the country who died in london suffering from the deadly disease 19 pic twitter comia0nkyi8kg,sad
0,your life do not get better by chance its get better by change have you been affected by covid 19 crisis roundpushpin a pay cut by your company roundpushpin working extremely hard while managing your children at home,sad
3,pinche coronavirus arruina todo,anger
1,israel offers to teach its secrets against coronavirus abroad,joy
0,indian politics is more fatal than at this time of crisis instead of joining hands together to fight the virus our politicians are busy in blame game the migrants of other states are not voters and hence unwanted in their states shameless,sad
1,brothers day 69 of lockdown from the archives of 2015 majnu ka tila im normally lazy when it comes to archiving my photos and also the daily grind hinders the process but this lockdown boredom has given,joy
0,toh aapne kya kiya 60 years me do not blame the current govt to hide your failures and incompetencies thanks to pm and the whole team for leading the world from front to combat covid 19 india is doing best in the world,sad
0,life is hard it is harder if you are stupid twitter com39baeoupeh at sivasagar town,sad
0,with the third highest number of coronavirus cases and second highest official death toll in southeast asia the philippines also allowed the reopening of more businesses and people can now leave home without government permits,sad
0,lockdown khatam hone k baad loog ye status upload karenge missing lockdown facewithtearsofjoy facewithtearsofjoy,sad
0,why healthy asymptomatic covid 19 patients are dying at home in karachi,sad
0,this time it is about indian economy after the covid19 pandemic pls watch comment and share,sad
2,the orange haired orangutan said last week that fear was fake news from democrats and it will be over in a few days it is just like flu he said now the idiot says it is a what changed moron,fear
0,why you call shoab jamahai in debate he is a known islamist extremist he spread oral corona on tv he misused media for his said agenda of hate among society govt of india defend his antinationals act in shaheen bagh,sad
3,i bet the idiot gb being is very concerned over the coronavirus not because of the health of their followers but because of the hit their bank account is going to take if meetings and assemblies are canceled this is a worse case scenario for them,anger
1,illustration mack 19,joy
0,indian railways trains resume on tuesday the worlds largest lockdown involved shutting the network which carried 20m passengersday now there will be face shields for passengers,sad
3,why do u call idiots olike nishant verma on the show we will be compelled to stop watching i wish him corona,anger
2,better a terrible end than endless terror phrase,fear
0,766 people with symptoms have been admitted to hospitals across situation now under control cm,sad
1,glad to be part of a team that actually cares even in the times of lockdown jazz sent these care packages to its employees who are twitter comt9rnujfum5,joy
1,naicee remix on yes let us break this lockdown together love from huggingface huggingface,joy
1,welcome to new life she fought well against covid 19,joy
3,adiaram a sleep se fude coronavrus,anger
2,all the churches kingdom halls synagogues that cancelled their services due to corona virus shame on you u should have faith that god has your backs not worry to cancel services must mean u do not truly believe in god now u looking at science and you are scared of catching it,fear
2,when scare ends pic twitter comjlbmdj9kcw,fear
3,bs why do you lie the chinese government notified who about the coronavirus on dec 31 the trump administration sprang into action less than a week later on jan 6 meanwhile all democrats did was to work on their next impeachment scheme the timeline proves you lie pic twitter comsun60wsuym,anger
3,yes quite the rouges gallery on the presser today all they needed was up there with them i am sick of this shitshow do not let this crappy bunch of derelicts make you feel that this is normal it is not,anger
2,grocers struggle to keep sweet and salty snacks in stock as consumers look for comfort in cookies and chips amid growing coronavirus fears,fear
2,dude is it irrational to not want to go to the gym while their is a coronavirus outbreak asking if im being too anxious or lazy,fear
3,especially when he said you can go can go to work with coronavirus and when he said the number will be zero in the next week just admit that you prefer to remain ignorant,anger
3,it is heartbreaking the coronavirus disaster leads to fear and loathingccp is too far away but chinese are among americans i suppose it is much easier to blame the accessible than the craftyunlikely to punish but please treat them better,anger
0,for the 6th day in the last 7 we have had after america the highest daily death toll from covid19 in the entire world,sad
0,as we continue our lockdown remember that we will come back stronger and better as a nation road ahead is tough but we are tougher our forefathers build this nation with their blood and,sad
3,denmark shuts schools and universities after surge in coronavirus cases denmark dks prime minister is now announcing that most of denmark is shutting down schools and alot of institutions groups of more than 100 people is not allowed,anger
2,the thought of jacobs nashville show getting cancelled makes my heart hurt soooooo bad please go away,fear
0,wajid khan the popular bollywood music director from the sajid wajid duo passed away today at the age of 43 he was suffering from covid 19,sad
1,lockdown blessings,joy
3,so claims the is a hoax while italy quarantines 16 million people we all may be dead or broke before we get a chance to vote this idiot out of office in november,anger
3,grabbing bite at atl cashier took a text while serving me apparently lakeisha has coronavirus and will not be in none of us seemed to care we just wanted our stupid food,anger
3,will it go ahead with coronavirus threats,anger
3,do not let the coronavirus get you down burn one,anger
3,cannot you ask your old mates at the bbc they seem to know every bloody thing about coronavirus especially their so called correspondents they bang on about it every waking hour,anger
3,nothing justifies being rude to others and that goes for everything not just because of the coronavirus,anger
3,and are aiming to have thousands of americans die from covid 19 to stop pres trump from being re elected dems are evil sick people fails to move forward with coronavirus phase 3 bill amid dems opposition,anger
1,those who have been criticising doctors since the start of pandemic have good new home isolation policy is announced now you can take care of you asymptomatic patients i doubt how many will take care of their covid 19 positive relatives,joy
1,anyone is bellcome for this healthy cowdung sauna style bathwa only in hisar haryana bharat it will suckwa and killwa all the coronavirus,joy
1,lockdown also made the people brave and strong about their family issues and relationships,joy
3,i have been switching between al jazeera sky news bbc and cnn and frankly i am worried italy is in a terrible state hmmm we cannot afford to get to that point i pray we do not averagely that is what we do pray,anger
0,anthony causi beloved post sports photographer dies of coronavirus at 48 via,sad
2,covid 19 spread can be stopped only through the formula of social distancing without that the stage 3 of the virus is not much distant away from the india society distancing,fear
3,saying panic is not necessary is not helpful anytime anyone has told me to stop panic it just got worse,anger
2,worried about do not just wash your hands urge congress to pass a key prevention tool and commonsense protection all workers need even when we are not facing a pandemic,fear
3,i do not think the coronavirus realizes who it is messing with pic twitter comllvkv4ne98,anger
3,messaging has been disgraceful of course it would help if people actually used their brain instead of walking around totally clueless,anger
0,most of the private hospital are charging 300 to 3500 per day for corona patients in mumbai and most of the the hospital dont have sufficient bed wt will happen with the peoples below poverty line,sad
3,coronavirus is screwed,anger
3,society does not care about me just because my face sucks and i have no control over it that is some bullshit and society is too shallow to even admit it at least corona virus is giving normies their just desserts,anger
3,here are some tips to preventing yourself from getting corona virus wash your damn hands shower and overall have hygiene it is not hard people,anger
3,immigration judges naij eoir has ordered immigration court staff to remove cdc posters designed to slow spread of coronavirus no this is not a parody account,anger
2,i know if anything it is a cold people do not realize it is also spring with allergies not corona virus im not letting them poke me with nothing regardless they may just be injecting you with something jmo,fear
1,taher shahs new song is out it will end corona virus in the world now,joy
3,nhs scotland shame on you we have a confirmed death due to the coronavirus in the highlands and are being refused information about where the individual was from allowing people the facts to enable informed decisions is only fair treat this as an foi,anger
3,i rlly got to move out of college bc of coronavirus this shits crazyyy,anger
0,death toll in italy surpasses 7 500 over 400 patients 100 people recovered 200 dead globally,sad
3,serious question for all who think this whole thing is overreaction and hysteria do you actually believe nearly every nation on earth would shut down their entire economies over a cold or is it possible this is worse than they are telling us to prevent panic,anger
2,do not know who this guy is but he has a great point kween hillary would be handling this crisis like a champ if she were president she did such a great job managing bill in the oval office we would really be going places if she was in charge sad,fear
3,capitalism and the greed it breeds is probably going to make the spread of even worse in the us,anger
0,this pc is a joke on those people who are suffering from 19india,sad
3,hm this corona virus is getting serious chale dansoman,anger
2,just in public areas of buildings owned by in and around temple square in downtown slc have been closed until further notice due to concerns over the novel,fear
2,you know who will be unaffected by the coronavirus the most deplorable of deplorables they will not get sick,fear
3,hahaha look everyone he shit himself nonono i swear i have coronavirus,anger
0,stigmabase hong kong protesters have promised a miracle but chinas national security law seems after a months long break due to the coronavirus pandemic sundays march was the first opportunity many hong kongers had to view article,sad
2,is the making you afraid of what the future holds looking for a sense of peace call 877 whyislam you deserve to know,fear
2,do not underestimate the coronavirus i repeat do not underestimate the coronavirus it has evolved to not only infect animals but also humans dont think it is dangerous cause it cannot kill you yet if we do not stop it covid 19 will continue to evolve to potentially become deadly,fear
2,wall street roared back to life on tuesday rebounding from the brink of bear market confirmation as bargain hunting and hopes of government stimulus calmed investors fears surrounding the and growing signs of imminent recession,fear
3,the christian right and are the biggest threat to the world right now during this pandemic they outright evil their ignorance is death incarnate,anger
3,dude on the train dressed like kakashi telling me its coronavirus safety not cosplay he better kamui that mf then cuz his nike mask not doing shit,anger
0,let me tell you all this is the only trick of china to defeat america because they cannot come to the fore and fight america so they resorted to this corona virus and the whole world is suffering,sad
1,my dearest mate it is been a real pleasure to have u ive not seen u personally but you are 1of those human beings who has a virtual presence in theloyalty i really love you respect you trust you be safe if possible plz keep me posted regarding ur status pic twitter comgo071yuet0,joy
0,really feeling bad is this the arrangements for unlock 1 really as we are having more than 3300 cases in the sole indore then too then arrangement are like this really feel bad d5dvnyakjc,sad
2,coronavirus captain smith and pocahontas had a very mad affair when her daddy tried to kill him she said daddy oh do not you dare he gives me fever with his kisses fever when he holds me tight fever im his missus so daddy will not you treat him right,fear
0,covid19 kills another event as dolpa43 becomes 100 online,sad
3,the world today is just like 2000 we were warned about the millennium bug a potential technological problem what did people panic buy condoms coronavirus now panic buying loo roll think with our genitals for 2000 think out of arse today,anger
0,i know govt is trying to get the economy back on trackminimize d loss but that does not mean you give instructions to resume the train flight bookings lockdown must increase to safeguard the lives of people life comes before money,sad
1,i hope you are all doing good in your quarantine stay home stay safe not only from but also be aware of the dangers of so use mortein products and say,joy
3,this is our so called muslim society where a muslim women officer harassed by these shitts mard enko lagta hai ye musilman hai jummah par kr aye hai musilman hai no mein enko musilman ni janta touch her they abused her physical ridiculous 19,anger
1,board you tejaswini both are doing a commendable job with special focus on board segment children though we got to know about you only during the lockdown have recommended your youtube video clips to many please continue with the good work all the best,joy
3,finally ovrtook fr destruction vdout cause undr ego policy r dffrnt sides of d same coin unlike der past presnt charactr dey considr demslves superior to rst r careless fr 19india undr ugly thinktheory,anger
3,probably going to take a mass shooting for people to shut up about the coronavirus for a few days,anger
2,if i were ever faced with the prospect of licking a toilet seat where a thousand strange butts have sat coronavirus would be the last thing on my mind afterward i would hope for a fast acting strain of the disease to finish me off,fear
1,due to one set of people some country utilising opportunity and make fun of entire community thing,joy
2,so says nothing to worry about with the corona virus then he works from home pulls his kids out of school tells all other politicains to go into isolation some fucking leader,fear
0,due to and in bowenpally area there are a lot of peoples are not having a single rupee to buy a rice and there in need of ration for their homes so please come out and help those people by feeding contact me 7799322774,sad
0,rest in peace celebrated music composer of the duo sajid wajid passes away at 42 he was suffering from covid 19 pic twitter comu4s0rtwlst,sad
1,day raisedhandlightskintone victoryhandlightskintone victoryhandlightskintone globeshowingasiaaustralia,joy
2,all these super fit athletes testing positive for and heres me just lazing about fat as fuck severely unfit asthmatic full of anxiety does not believe in fruit or veg and a drug taking binge drinker what chance have i got come at me,fear
2,it will take 25 years to test 20 of the uk population at the rate they are being tested for people are waiting on tests this is unacceptable and dangerous,fear
2,fuck u coronavirus i cant hang out with any of my friends now and i have to sit by myself and think key word think thinking is not good cor my health,fear
0,pls issue 2 beds for my parents in saket my parents are covid patients they need your help 30 beds r reserved for covid patients i request you to please help us my parents are diabities and hyper tension patients,sad
3,the idiots guide to coronavirus from an emergency physician via,anger
2,hey do not email me about the coronavirus worry about my money and that is it you can cut the shit as well,fear
3,i think it is time to replenish or add more weapons in my inventory regarding with this corona virus we are facing i will not be left defenseless in my own home if shit were to go down fuck that,anger
1,beauty of lockdown days red gulmohar flower carpet at melattur railway station of nilambur shornur railway line today courtesy pattikad railway station and,joy
3,we are lit rally getting low of medication it just crossed my mind where in hell am i going to find the treatment of my grandma with this coronavirus lockdown the prices in the fucking sky also i would better die,anger
3,in italy people are getting fined if they leave the house due to coronavirus it is mad,anger
0,karyakartas of abvp have been working round the clock to help students stuck during the lockdown so far thousands of northeast students have been helped by abvp this is what honble chief minister of manipur shri ji has to say about abvps work,sad
0,you forgot the third india one that is try their best to spread the last and the most important one forth india those protecting the ones spreading this disease,sad
0,an iranian cleric visited hospitals made patients suffering from coronavirus smell a holy perfume which was handed over to him by the prophet the patient died next day coronavirus pic twitter com5wdbnsx3ar,sad
3,i can see the trolls posting pictures outside making that dumb hand signal when there is a quarantine like fucking ben shpro ugh it is totally going to happen is not it maga hats getting coronavirus to own the libs,anger
0,the protesters in us should not give room to antisocial elements now they take everything in their hands looting both public and private properties and setting fires the main purpose shall be defeated hence stop agitation to save common people already suffering from corona,sad
3,coronavirus will expose capitalism like never before via,anger
1,lockdown impact 2 grinningface grinningfacewithbigeyes,joy
2,why are you still open and working are not driver examiners healthsafety a concern is getting your licence considered an essential during they should get hazard pay no masks or gloves because it is not part of their uniform answers,fear
0,2019 2020 taking in easy way bihar is going in past in the last 10 years bcoz of poor governance of,sad
3,us coronavirus up coverage until close use could upend can uk closed union cnn unleashes cbs,anger
1,is lockdown only for common people of country is violating the lockdown norms by organising the parties and birthday celebrations political activities and social gatherings are ban but is orgainsing joining rallies is this the way to go ahead bj6wbcx3of,joy
1,covid good news,joy
3,exploring my archives staying home even if it has been hot as hell kwang pottery jungle,anger
1,isolated detainee pn dapat covid this rona will be treated as urti in few months lol,joy
2,corona virus when it falls on the fabricremains 9 hours so washing clothes or being exposed to the sun for two hours meets the purpose of killing it,fear
0,the legacy to be kept in family roberts name does not goes down well with electorates corona lock down has been used for launch of new incumbent conveniently has surname gandhi and having crash course to dine with poor and show sympathy for them before he is launched in politics pic twitter comrczzxjdvxj,sad
2,we knew the coronavirus was coming for the economy but a dispute between saudi arabia and russia just sped up the trouble via,fear
3,finally ovrtook fr destruction vdout cause undr ego policy r dffrnt sides of d same coin unlike der pastpresnt charactr dey consider demslves superior to rst r careless fr 19india undr ugly think theory,anger
2,the is on trying to shed some light on how serious is pic twitter com68k6gsrvpq,fear
2,lockdown panic famine and inequality,fear
1,vanga nanbargala ellam onna polam fire brave decision by the gov for opening tasmac clappinghandslightskintone ellarom corona la sethalum parava illa nu tasmac open pandradhu romba nandri keep doing these great work,joy
0,and the irony is no of corona cases in india are still less than my jee rank,sad
0,i want to go suriname when covid is over,sad
2,when i asked why has not been sticking around after his last few events to meet with attendeessomething that he clearly enjoys while on the trailhis campaign seemed to indicate that it was due to concerns about coronavirus issuing this statement to kt2rbkjhga,fear
3,nobody cares your eu ban made no sense anyway and you probably realised later mexico is about to build a wall of its own to prevent from u s but you will probably find a conniving method to send it their way anyhow anyway thought it was just a flu pic twitter comz2t9ebowyy,anger
0,from where can i get list of recognised testingcollection centres both govt and pvt clinics chandigarh panchkula area,sad
2,im pretty sure you stomping your feet over words is equally ineffective you are trying to take the blame for assault and put it on the shoulders of those saying the coronavirus is from china that is not effective it is just stupid,fear
0,dr pankaj shah aged 65 m d physician expired today at global hospital ahmedabad due to covid 19 r i p sir pic twitter comkjihg6m9aq,sad
2,im going insane i cannot leave the house im on a starbucks and dunkin ban cannot even go to the gas station infront of my house im this close to sneaking out in the middle of the night fuck the coronavirus,fear
0,please must watch this video this is the ground realty in kejri govt in covid 19 situation,sad
3,im so sick of this one was making a point one was deliberately trying to scare people gas masks do not even fucking protect against fuck just fuck,anger
2,breaking mid american conference tournament to be played without fans due to coronavirus concern story,fear
1,we gave won against corona and migrants have become politics now,joy
3,corona virus is wwlll,anger
2,federal reserve slashes interest rates to confront coronavirus pandemic,fear
0,covid 19 etisalat offers free internet video voice calls for two months,sad
3,when ppl start losing their jobs over the pls remember to direct your anger to the democrat party their media hacks who orchestrated this whole deal pic twitter comt5kbbvscoe,anger
3,i think girls think i have the coronavirus cuz they keep avoiding me,anger
0,it is not because of covid he also suffering from kidney problem,sad
1,excellency that will be a good time pass in lockdown,joy
1,we all look at the same moon with hope that everything gets better soon peacesymbol,joy
3,very true if we all just maybe he will go back to being just an another annoying twitter troll,anger
3,why are they making the coronavirus such a big deal,anger
1,great sir ji each everyone person ia also corona various,joy
1,very nice initiative by our and other officials we hv to fight against covid19 we will get victory within 15 days if we follow the directions of our pm sahib distt officials so 100 lockdown if you need any thing there is no problem as admn is providing,joy
3,google bangalore employee tests positive for coronavirus and office park shuts down emails say,anger
3,i am a census employee please help me get the word out we are 3 weeks away from hiring 100 000 people to count shelters food vans homeless this will hurt employees the vulnerable and the census count congress and the administration need to act,anger
0,miss will be happy for another lockdown,sad
0,celebrated music composer of the duo sajid wajid passes away at 42 he was suffering from covid 19 my prayers and strength for the entire family may his soul rest in peace pic twitter com43e9svyczv,sad
1,jai shri ram ji plz obey lockdown and be fit healthy,joy
2,seriously now turning into an issue of personal responsibility in the face of incoherent and contradictory govt info we all just do our own thing only degenerate scum could display such malicious indifference,fear
1,mubarak sparklingheart pray for humanity palmsuptogether pray for the world palmsuptogether may allah forgive us all may allah protect us all from this pandemic 19 ameen sumameen palmsuptogether at ghouri town phase 5 islamabad,joy
0,online ration card service is not working in maharashtra kindly have a look and plz start the service in lockdown it is very difficult to apply for the rc negligence seen in govt work during this lockdown i hope you will start online rc facility,sad
3,field trips are getting cancelled and now dance competitions too frickin coronavirus ruined it ahh,anger
2,i am not any more concerned about catching the coronavirus in amarillo tx as i am in new york catch me in times square,fear
3,the main thing separating our government from that of so many others is democracy and w that accountability we cannot hesitate to hold our government accountable they are elected officials public servants people we trusted w our future and we deserve communication,anger
2,the chinese communist party knew about coronavirus at least since november 2019 but instead of warning their own citizens and the world about it they supressed it and arrested anyone who tried to raise the alarm over this until it blew up in their and everyone is faces,fear
2,what we need is to control the panic why this nobel laureate predicts a quicker coronavirus recovery were going to be fine,fear
0,bollywood singer composer dies of coronavirus at 42 7frvjr8fik,sad
1,now im share to my experience today 02155 hbj to hnz train awesome facility to indian railway these are providing to best facility and protection in covid 19 thank you so much at ganj basoda railway station,joy
2,trump you once said in a tweet that obama should go hug up everybody with ebola your time to go and kiss everybody in america with coronavirus is now as you called it the chinese i tell you be careful of what you say because you do not know which one you will have to eat,fear
3,locked down here due the corona virus not going out until this thing blows over,anger
2,hope they are careful where they go with coronavirus,fear
2,im just making the most of this crisis by doing cameos i love you all love each other it is freee stay safe check out my cameo profile,fear
1,i m facing issue of content not supported on your device few days back i have seen sande movie on same device kindly look into matter as during lockdown this is only thing i have,joy
3,pandemia estado de emergencia y limitacion de derechos individuales y civiles un trade off entre seguridad y libertad de coste desconocido de gobernanza centralizada y asuncin colectiva p3,anger
2,jamaicas fin min annouces 7billion contingency bill for spending on health social economic security should conditions necessitate and we have an outbreak in a better position to withstand global shocks,fear
3,if all of these essential service workers get pushed to the side once this whole coronavirus thing passes they have every right to riot and destroy society by refusing to work,anger
0,what happened in india migrants suffering with lockdown to go home they are paid fully ticket price but not satisfied,sad
2,u s intelligence agencies did not mince words throughout january and february they repeatedly warned president donald trump and other top administration officials about the growing danger of the coronavirus and how it could quickly spread around the world,fear
0,celebrated music composer of the duo sajid wajid passes away at 42 he was suffering from covid 19 my prayers and strength for the entire family may his soul rest in peace twitter comtk6ehuylvd,sad
2,this coronavirus is really starting to piss me off,fear
1,lockdown success,joy
0,indians should tweet she was ve on and she was attending meetings and treated in home why 19,sad
2,the fear of the deadly coronavirus on one side and the massive loss of profits on the other side which one are the oilygarchiks chorporates going to choose let us see,fear
2,when india was under lockdown with cases in thousands we were worried of corona now when india is unlocking with lakhs of covid 19 cases we are not worried in fact we are now ready to fight our invisible enemy we have accepted corona as our liability,fear
3,company threatens to sue volunteers who 3d printed valves for coronavirus aid,anger
1,i am proud of the way she reacted with courage for amfan and corona reacted is praiseworthy,joy
2,meanwhile other youtubers are panicking making there followers panic let us stay calm folks let us talk about coronavirus via,fear
2,no concern or leadership for coronavirus testing,fear
2,this is the sign of hyper action that leads to hypertension anxiety high blood pressure many lifestyle disorders and mostly ends with cardiac arrest by losing life practice yoga to balance your body emotions mind psyche and actions stay at home fight against coronavirus,fear
0,these mother fucker jihadists only happen to be in pashtoon region i do not consider them muslims those who have trained them are worse animals 3 bloodsheds on the same day that is why we do not fear corona becoz we have worst virus than that,sad
2,coronavirus infections in children including covid 19 the pediatric infectious disease journal,fear
0,many other then labour need serious help sir wish corona caught me so i can fir too,sad
1,feel has brought sense in is good concept but this guy has lied 2 us since 2014 that is d fact v see cannot believe him that is also a fact hope he implements,joy
0,poor taxi man help donation charity help money my taxi damage please help registration malikashraf1545 0092335252521whats my family corona virus my children crying hungry no food no milk please help donation thanks malikashraf1545 0092335252521whats,sad
2,coronavirus lol the judge should send him a level 4 containment suit and a doula,fear
3,i myself had a heart attack in september 18 2019 im not overly concerned about the coronavirus i think this is the most over exaggerated bunch of crap in news media history,anger
1,agree to disagree first they should carry shit bags2sets of hand glowsface masks if dogs sneezbark they should put dog face mask to dogs all these things its better to send their dogs2 dog care corona pendemic leave your dogs indogs careone full year,joy
2,not too sure licking the floor gives you probably upset tummy etc however the person sat in the pew next to you snotting and coughing all over you would he typifies the current us thinking,fear
2,the national cyber security centre say opportunistic are using the outbreak to launch online attacks,fear
2,harsh steps are needed to stop the coronavirus experts say,fear
2,while the government has a responsibility to prevent the spread of misinformation about covid 19 this does not mean silencing those with genuine concerns or criticism of the governments handling of the crisis,fear
2,i wish people would understand that not everyone has the privilege to not go to work when they are sick when it is not the coronavirus btw some people cannot just be like im sick ill stay home today xoxo,fear
1,digital marketing strategies in lockdown,joy
3,related irs been discouraging to hear so many people say they will judge current efforts to prevent coronavirus deaths by irrational criteria eg if a lot of people do not die that means we did too much to prevent people dying,anger
0,have not seen my sister for 2 months that is enough corona loudlycryingface loudlycryingface,sad
1,thank you so much ji for this honour and appreciation it gives us more encouragement to work hard warrior twitter comnmzr0om2rx,joy
3,uncalled for hysteria via,anger
2,im not afraid of the corona virus im afraid of all the people afraid of the corona virus taking all the ass wipe and lysol pic twitter commooubwknds,fear
0,please add dd shillong in your dish also i need it so bad during this lockdown please im begging you if you do not add now ill change my dish tv after the lockdown is over,sad
0,i feel no pity on myself thought i acept my condolences for the passing away of ur father mother sisters and brothers do to the inability of ur visionless gvt to provide for them on the covid 19 lockdown,sad
0,live on the uk governments failure to act early on in the pandemic has damaged the aviation sector and they are shying away from the realities of future air travel amid covid19 pic twitter comvt8i6azfpn,sad
3,ive figured out how to wipe out the all you need to do is just turn off your tv for the next 72 hours go out and have some fun with family and friends for a couple days then in 3 days turn on you will see what shit their reports are,anger
2,this rough sleepers and drug users not getting coronavirus advice,fear
3,bbc news coronavirus germany tightens curbs and bans meetings of more than two,anger
2,took 3 months for trump to deal with the threat seriously to the point of calling it war i feel that causes more fear than calling it pandemic i guess i was expecting too much from someone who still calls it the chinese virus call it by it is name coronavirus or corvid 19,fear
1,xx samosa chole anaar xx love chaats the khatta meetha effect is unbelievable lipsmackingly delicious i thought due to covid19 can never binge on chaats anymore but i was wrong,joy
